"大噴水",35.673703,139.756503
"Hibiya Palace",35.674161,139.754746
"岩の井戸",35.675571,139.756884
"東京宝塚劇場 (Tokyo Takarazuka Theater)",35.672826,139.758607
"ペリカン噴水",35.675279,139.75771
"女神像",35.675073,139.757081
"母子像",35.674973,139.753574
"日比谷見附跡",35.675135,139.758819
"花の灯り",35.674669,139.759591
"空へ",35.671652,139.759474
"帝国ホテルプラザの噴水　",35.672291,139.759604
"帝国ホテル創設者",35.671566,139.758779
"日比谷公園",35.675017,139.759189
"帝国ホテル内郵便局",35.672569,139.758843
"東京宝塚劇場",35.672973,139.759022
"微風 Soyokaze",35.672645,139.759234
"アトラスの角",35.671061,139.756691
"NTT日比谷ビル内郵便局",35.670925,139.757617
"オブジェ",35.670702,139.756754
"滝っぽいの",35.670884,139.754552
"Clock Tower",35.670643,139.756413
"ジュンク堂書店 プレスセンター店",35.670914,139.754207
"烏帽子石",35.671042,139.755982
"風と花",35.670826,139.75477
"街灯のテントウムシ",35.671104,139.755689
